z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.0238014861514, 2.61472322009, 1.35928423224e-213, 342.15877184, 0.76010342827229749, 0.279272579098, 5.166964008e-06, 2.85744006773e-06, 0.150751665369, 2.88947380583e-05, 0.00131642849218, 0.000163053201613, 2.72223344941e-05, 1.65749891823e-12, 1.55471075462e-13, 1.85717581376e-14, 3.83467578258e-14, 2.2282357321e-15, 3.74192738514e-10, 1.08855408849e-10, 1.05237582166e-12, 2.27001146906e-12, 0.568432131875, 
0.0238033634285, 2.63842593321, 1.35928421456e-213, 345.537400608, 0.75327491797637502, 0.278562576036, 6.74230078239e-06, 3.23627988956e-06, 0.150809912739, 3.3924826372e-05, 0.00147440413062, 0.000181293520953, 3.01646663656e-05, 1.83631975311e-12, 1.73998558192e-13, 2.03375437337e-14, 4.34977670406e-14, 3.23795952119e-15, 4.31193531645e-10, 1.21484093183e-10, 1.24426589492e-12, 2.58713920797e-12, 0.568897744941, 
0.0238052407056, 2.66402729199, 1.3592841912e-213, 349.178256428, 0.74603582089911935, 0.277824589312, 8.76448352044e-06, 3.67467315399e-06, 0.150863037627, 3.9885845494e-05, 0.00165052475803, 0.00020094133147, 3.33430304371e-05, 2.03619009947e-12, 1.94883421803e-13, 2.22612091054e-14, 4.92983937698e-14, 4.71466008787e-15, 4.97237038491e-10, 1.35030182129e-10, 1.47141974692e-12, 2.94828749916e-12, 0.5693752383, 
0.0238071179827, 2.69163048664, 1.35928416786e-213, 353.095499093, 0.73838488842176309, 0.277058178324, 1.1347010011e-05, 4.18240404372e-06, 0.150910184346, 4.69404120152e-05, 0.00184640905832, 0.000221913801585, 3.67549457406e-05, 2.25981098243e-12, 2.18457831426e-13, 2.43555291302e-14, 5.58194837806e-14, 6.87652802388e-15, 5.73675812721e-10, 1.49396655395e-10, 1.73980508561e-12, 3.35865477621e-12, 0.569864088968, 
0.0238089952598, 2.72133526571, 1.35928405244e-213, 357.302895381, 0.73032472409972904, 0.276262942461, 1.46270564623e-05, 4.77068017132e-06, 0.150950473853, 5.52721858863e-05, 0.00206372701151, 0.000244079058697, 4.03936451849e-05, 2.51031445737e-12, 2.45113504852e-13, 2.66342207061e-14, 6.31376244928e-14, 1.00430413931e-14, 6.62033714999e-10, 1.64441145406e-10, 2.05627535857e-12, 3.82380339329e-12, 0.570363713212, 
0.023810872537, 2.75323674469, 1.35928393878e-213, 361.813581298, 0.72186211237797782, 0.275438559118, 1.87688692258e-05, 5.45223104846e-06, 0.150983008161, 6.50853277961e-05, 0.00230418326152, 0.00026725254353, 4.4247862781e-05, 2.79135303284e-12, 2.75315556916e-13, 2.91120407874e-14, 7.13353213003e-14, 1.46808033711e-14, 7.6401700481e-10, 1.79972887496e-10, 2.42867454209e-12, 4.34961295588e-12, 0.570873441671, 
0.0238127498141, 2.78742291801, 1.35928379602e-213, 366.639803753, 0.71300833243786299, 0.274584754782, 2.39671819878e-05, 6.24137403453e-06, 0.151006885565, 7.66025666308e-05, 0.00256949754946, 0.000291195825338, 4.83018106001e-05, 3.10720938689e-12, 3.09619849833e-13, 3.18048877981e-14, 8.05011512261e-14, 2.146900547e-14, 8.81523175602e-10, 1.95752274204e-10, 2.86594999458e-12, 4.94220969824e-12, 0.571392552256, 
0.0238146270912, 2.82397314643, 1.35928365775e-213, 371.792648075, 0.70377931637896318, 0.27370133641, 3.04505257026e-05, 7.15403617339e-06, 0.151021206431, 9.00615418296e-05, 0.00286138263022, 0.000315618493511, 5.25353564571e-05, 3.46293073152e-12, 3.48694709713e-13, 3.47299360777e-14, 9.07299012961e-14, 3.13920849543e-14, 1.01664685925e-09, 2.11493736202e-10, 3.37827300261e-12, 5.60786850646e-12, 0.571920253334, 
0.0238165043683, 2.86295561159, 1.35928356556e-213, 377.281759883, 0.69419573503414, 0.272788165874, 3.84842514731e-05, 8.20771891991e-06, 0.151025087434, 0.000105709117282, 0.00318152026272, 0.000340183596888, 5.69243976264e-05, 3.86449209751e-12, 3.93347910798e-13, 3.79057817243e-14, 1.02122694536e-13, 4.58695004874e-14, 1.17168239269e-09, 2.26872565095e-10, 3.9771677087e-12, 6.35288586604e-12, 0.572455715934, 
0.0238183816454, 2.90442572685, 1.35928347791e-213, 383.115072074, 0.68428289752411253, 0.271845183771, 4.83730755948e-05, 9.42139640587e-06, 0.151017667369, 0.000123793494416, 0.00353153615409, 0.000364516789024, 6.14413971632e-05, 4.31899387618e-12, 4.44560070668e-13, 4.13526253693e-14, 1.14787115021e-13, 6.69353280313e-14, 1.3491228471e-09, 2.41535921853e-10, 4.67564812538e-12, 7.18342343441e-12, 0.572998064946, 
