z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.023814627091176911, 2.8243613200669748, 5.192110188818719e-210, 371.78198064547792, 0.70379687496383603, 0.27370464408158945, 3.0455245357285696e-05, 7.1545702678727166e-06, 0.1510208143913733, 9.0076932665334391e-05, 0.002860637383033833, 0.00031562692423281978, 5.2532777060427178e-05, 3.4620202287107984e-12, 3.4859710538545928e-13, 3.3327057247567405e-14, 9.266644631969533e-14, 3.1387905777774504e-14, 1.0152173354521019e-09, 2.1117089566898572e-10, 3.3760468200381621e-12, 5.5985138646188247e-12, 0.57191805645508897, 
0.023816504368288711, 2.8633513156577619, 5.1921101828512476e-210, 377.27124359517194, 0.69421252891966989, 0.27279143475099382, 3.8490926053802542e-05, 8.208436626775671e-06, 0.15102470894149228, 0.0001057285308493731, 0.003180750455752274, 0.00034019610685414583, 5.6922627490165827e-05, 3.8636067010954121e-12, 3.9324619274369216e-13, 3.6537739576552351e-14, 1.0405284895934834e-13, 4.5864830619345805e-14, 1.1700589361429797e-09, 2.2653027350772029e-10, 3.9746502097772017e-12, 6.3428051633575344e-12, 0.57245355781253748, 
0.02381838164540051, 2.9048298782578565, 5.1921101771769229e-210, 383.10477657783309, 0.6842988130082106, 0.27184840600647631, 4.8382326270742471e-05, 9.4223411539678674e-06, 0.15101730181712394, 0.00012381779994450538, 0.0035307450520100621, 0.0003645333748392265, 6.1440538724414384e-05, 4.3181427849096641e-12, 4.4445473871341085e-13, 4.0020848748672684e-14, 1.1671044658748069e-13, 6.6930674793970089e-14, 1.3472812280840094e-09, 2.4117545384902782e-10, 4.6728099675106552e-12, 7.1725430373502215e-12, 0.57299594913816854, 
0.02382025892251231, 2.9488374091649043, 5.1921101709206964e-210, 389.28854728177635, 0.67408546745747777, 0.27087555511381395, 6.0475510961012839e-05, 1.0816562444815642e-05, 0.15099776573035673, 0.00014458428485862826, 0.0039121662445895256, 0.00038823951628008815, 6.6056184267759301e-05, 4.834093625758782e-12, 5.0341744642051467e-13, 4.379832679609308e-14, 1.307534300380495e-13, 9.7479869203857078e-14, 1.5495694339217838e-09, 2.5474093712251905e-10, 5.4851747199223769e-12, 8.0935669888514024e-12, 0.57354433902892887, 
0.02382213619962411, 2.995397948720433, 5.1921101650935076e-210, 395.82632944963041, 0.66360625034058596, 0.26987295213611062, 7.5158673970465863e-05, 1.2412427098512372e-05, 0.15096531274355096, 0.00016824665093563088, 0.0043264539201423391, 0.00041090618541670515, 7.0737152812229095e-05, 5.4215699754738346e-12, 5.7159296207818149e-13, 4.7894147751484508e-14, 1.4630273930489828e-13, 1.415966139991536e-13, 1.7797964523324902e-09, 2.6686651838160856e-10, 6.4281843962923538e-12, 9.1111952511784738e-12, 0.57409781804143123, 
0.023824013476735909, 3.0445175781675231, 5.1921101560542881e-210, 402.71952216094479, 0.65289840526620402, 0.26884072221674077, 9.2861880212780177e-05, 1.4231991938294356e-05, 0.15091920386609564, 0.00019498906946852711, 0.0047749209871776818, 0.00043213343239218474, 7.5449634983399129e-05, 6.0926624826174835e-12, 6.5076440309141463e-13, 5.2334589304896895e-14, 1.6348625270189601e-13, 2.0499071278188666e-13, 2.0410148388859625e-09, 2.7721775589375643e-10, 7.5202357945246272e-12, 1.0230009740254228e-11, 0.57465548457784366, 
0.023825890753847709, 3.096183769948285, 5.1921101478241424e-210, 409.96702545769057, 0.64200197028678818, 0.26777905418339282, 0.00011405546187113942, 1.6297674130138593e-05, 0.15085875391707679, 0.00022494688021208305, 0.0052587348739017931, 0.00045154783479641717, 8.0159038855437073e-05, 6.8618342682432577e-12, 7.4311201276009438e-13, 5.714854382431319e-14, 1.8243900996523925e-13, 2.9556299169955802e-13, 2.3364490931072039e-09, 2.8550678679781242e-10, 8.7818589059482474e-12, 1.1453642324686482e-11, 0.57521644748543188, 
0.023827768030959508, 3.1503648158728477, 5.1921101402877292e-210, 417.56518173306449, 0.63095899567102876, 0.26668818739944455, 0.00013924691403043634, 1.8631852306008937e-05, 0.15078333932021548, 0.00025819253973830751, 0.0057789030904727371, 0.00046881975248345026, 8.4830501409874842e-05, 7.746378190298521e-12, 8.5129954345229834e-13, 6.2367867397426574e-14, 2.0330349645035534e-13, 4.241240247551488e-13, 2.6694901679645416e-09, 2.9151147797260233e-10, 1.0235905693095551e-11, 1.2784578217809924e-11, 0.57577984563658968, 
0.023829645308071308, 3.2070101142213177, 5.1921101335947557e-210, 425.50778895568891, 0.61981267585017452, 0.26556841424377775, 0.0001689762367615384, 2.1256471012458834e-05, 0.15069240317622687, 0.00029472304743575648, 0.0063362633982648638, 0.00048367821418615837, 8.9429285455629499e-05, 8.7669456864457186e-12, 9.7857603315690111e-13, 6.8027773924085843e-14, 2.2622998354251486e-13, 6.0528784204762858e-13, 3.0436940437701669e-09, 2.9509082293965829e-10, 1.1907752143466778e-11, 1.4223993182440295e-11, 0.57634485255131729, 
0.023831522585183108, 3.2660507854584275, 5.1921101296813441e-210, 433.78618702523534, 0.60860645934598834, 0.26442007176281418, 0.00020380974406998366, 2.4192684838011846e-05, 0.1505854617300979, 0.00033445006169347696, 0.0069314787219448195, 0.00049592216331097573, 9.3921080545870061e-05, 9.9481535944928502e-12, 1.1288944849346775e-12, 7.4167276554107965e-14, 2.513769396861818e-13, 8.5855719356705286e-13, 3.4627860020118912e-09, 2.9619479926169634e-10, 1.3825515445673469e-11, 1.5771640875731265e-11, 0.57691068824984559, 
0.023833399862294907, 3.327400938175272, 5.1921101263010581e-210, 442.38941411496273, 0.59738316716414164, 0.26324353950680923, 0.00024433248661153919, 2.7460581410408419e-05, 0.15046210944603317, 0.00037719381854985025, 0.0075650366532780773, 0.00050542714432846923, 9.8272243822635608e-05, 1.1319275247824951e-11, 1.3070488299741818e-12, 8.0829684888784744e-14, 2.7891150763446223e-13, 1.2096084826974989e-12, 3.9306716510926999e-09, 2.9486745112918891e-10, 1.6020287549280411e-11, 1.7425803208888859e-11, 0.57747662384597576, 
0.023835277139406707, 3.3909593578851798, 5.1921101240447475e-210, 451.30442502600476, 0.58618416851555022, 0.26203923571900506, 0.00029113953331569536, 3.1079019587850309e-05, 0.150322023601763, 0.00042268169151168201, 0.0082372530959396294, 0.00051214699164325503, 0.00010245002701032084, 1.2915021264943359e-11, 1.5188302702498794e-12, 8.8063166240451042e-14, 3.0901004859855181e-13, 1.6917726360091403e-12, 4.4514550637857192e-09, 2.9124276912363627e-10, 1.8526386823276011e-11, 1.9183310998785557e-11, 0.57804198552329322, 
0.023837154416518506, 3.4566115296042423, 5.1921101221579932e-210, 460.51636019635936, 0.57504865007268968, 0.26080761185285983, 0.0003448264560884384, 3.5065612831265285e-05, 0.15016496797750231, 0.00047055184211452415, 0.008948279428889306, 0.00051611058030983021, 0.0001064228321722445, 1.4776414326268792e-11, 1.7712037806950181e-12, 9.5921382774478558e-14, 3.4185874752875314e-13, 2.3476953669078766e-12, 5.0294635858090644e-09, 2.855338207721637e-10, 2.1381629465202862e-11, 2.1039634099826206e-11, 0.57860615804048066, 
0.023839031693630306, 3.5242320439967592, 5.1921101211421243e-210, 470.00885123485978, 0.56401300173735569, 0.25954915246117038, 0.00040597944511214652, 3.9436878146180331e-05, 0.14999079411959729, 0.00052036195353127456, 0.0096981125266996666, 0.00051741414071021031, 0.00011016052470318532, 1.6951760648813029e-11, 2.0725052248212552e-12, 1.0446422068978569e-13, 3.7765426836803401e-13, 3.231193363039701e-12, 5.6692781227965446e-09, 2.7801640723528541e-10, 2.4627621942029364e-11, 2.2989030442218237e-11, 0.57916858193268106, 
0.023840908970742106, 3.593686977150194, 5.1921101203274365e-210, 479.76434812069704, 0.55311034554885885, 0.25826436718453299, 0.00047516549216263497, 4.4208557652591558e-05, 0.1497994418208255, 0.0005716025629391476, 0.010486606954926449, 0.00051620996873797905, 0.00011363481358398736, 1.9497718256216611e-11, 2.432659011361533e-12, 1.1375862782031557e-13, 4.1660445236454945e-13, 4.4105273904648854e-12, 6.3757672230068563e-09, 2.6900915484652589e-10, 2.8310076491123392e-11, 2.5024733208039662e-11, 0.57972875591965622, 
0.023844663524965708, 3.7376877046855506, 5.1921101204421173e-210, 500.0, 0.5317969205748212, 0.25564632477553395, 0.00063731471282449706, 5.4874241644084832e-05, 0.14937055748694103, 0.0006755371322260536, 0.012159252275670367, 0.00050700928512978892, 0.00011965383865668551, 2.5821909589029015e-11, 3.3532840562468065e-12, 1.3458239605581184e-13, 5.0358523477381289e-13, 7.9629205363052528e-12, 7.9850617776303643e-09, 2.4780655737816613e-10, 3.7026999816364489e-11, 2.9283363777672215e-11, 0.58082946791441858, 
0.023848607698909806, 3.8948116092979723, -7.7153005155336671e-203, 522.11875392559102, 0.51033944563260214, 0.25279740549896984, 0.00084734845712636968, 6.7888349549821798e-05, 0.14885431661929627, 0.00078347727857776771, 0.014063487727232179, 0.00049007997427633922, 0.00012462450244781907, 3.4899488791673334e-11, 4.7284059579152809e-12, 1.6052381332063866e-13, 6.1026328707396184e-13, 1.423672840830166e-11, 1.0004612978834958e-08, 2.2360389470791654e-10, 4.8524801143150504e-11, 3.400525133991044e-11, 0.5819713612271411, 
0.023852551872853907, 4.0566629768258959, -7.7124618762811184e-203, 544.95289791320056, 0.48997472254498325, 0.24984960513797355, 0.0011014768135030732, 8.2926212972369502e-05, 0.14827342169977845, 0.00088565508022758331, 0.016113166630524534, 0.00046808351358880343, 0.00012811393553528616, 4.7405186152203715e-11, 6.6929277188503138e-12, 1.9161470267913505e-13, 7.3482909605444389e-13, 2.4442714353293707e-11, 1.2413619625315397e-08, 1.9978307825590374e-10, 6.2947467818450256e-11, 3.8938252993313579e-11, 0.58309753818114052, 
0.023856496046798008, 4.2220741114197908, 2.8239979283860494e-203, 568.34648117733559, 0.47077586378186781, 0.24680810783348817, 0.0014019450163095528, 0.00010021073363279616, 0.14763120064052396, 0.0009783581327411214, 0.018300712234680046, 0.00044316920388109781, 0.00013008413058681711, 6.4559676589303904e-11, 9.4727926470309438e-12, 2.2910738186727502e-13, 8.7971198514589237e-13, 4.0327916398940431e-11, 1.527169452529334e-08, 1.7796635309911187e-10, 8.0923544602124265e-11, 4.4061386656929361e-11, 0.58420619638404137, 
0.023858468133770058, 4.3056942654315344, 9.8189423441660217e-203, 580.20170177348439, 0.46163243681576732, 0.24523770246796836, 0.0015719484415967061, 0.00010992223582050709, 0.14728432980922437, 0.001020672272375188, 0.019455997480778624, 0.00043014030170541838, 0.00013051132625119748, 7.5598598046316487e-11, 1.1299819360293287e-11, 2.511178584032705e-13, 9.6173570886479793e-13, 5.1132689098448688e-11, 1.6913545739094161e-08, 1.6803138102870353e-10, 9.165033619416655e-11, 4.6728312659204914e-11, 0.58475875830507973, 
0.023860440220742109, 4.3898345839386463, 1.8985673597720495e-202, 592.14790869901537, 0.45278309471892259, 0.24364480457498242, 0.0017541949428520746, 0.00012035904932075976, 0.14692205466900754, 0.0010596769256429597, 0.020645198193187934, 0.00041697412721863018, 0.00013055146200361705, 8.851959032238526e-11, 1.3463233310943181e-11, 2.7549440843239123e-13, 1.0502921836799992e-12, 6.4230403495638972e-11, 1.8704332134573898e-08, 1.588960416935883e-10, 1.0366141392122225e-10, 4.9452838527539403e-11, 0.58530616687190251, 
0.023862412307714159, 4.4743903037095247, 3.8842612488663799e-202, 604.16904784297174, 0.44422587653468476, 0.24203044794545375, 0.0019487283883060996, 0.0001315824788026797, 0.14654467091020379, 0.0010952361549755247, 0.021867359763739335, 0.00040381663177999977, 0.00013021559056234383, 1.0360125480312603e-10, 1.6016388895246742e-11, 3.0253799821835726e-13, 1.1458097546940084e-12, 7.9963718394273663e-11, 2.0655246242998123e-08, 1.5056792588514802e-10, 1.1708919423551411e-10, 5.2237123299420052e-11, 0.58584792096000604, 
0.02386438439468621, 4.5592397471253765, 6.3084010481633699e-202, 616.2502412105847, 0.43595743750200733, 0.24039486564281468, 0.0021555414338819477, 0.00014366226374743453, 0.14615254328443286, 0.0011272940766510638, 0.023121561432910623, 0.00039078491213165046, 0.00012951777618899884, 1.2115294528517295e-10, 1.9019300484947047e-11, 3.3259200691335275e-13, 1.2487394203038302e-12, 9.8705854055723512e-11, 2.2778178125624235e-08, 1.4302637129498021e-10, 1.3207796828769317e-10, 5.5083318183096204e-11, 0.58638420582841577, 
0.023868328568630311, 4.729619614838203, 1.2583471504752555e-201, 640.55018322445517, 0.42025011115994321, 0.23709534914011549, 0.0026012130536201268, 0.00017033993137415245, 0.14533359757088979, 0.0011804836350297169, 0.025696623679474485, 0.00036562053144638363, 0.00012711653326763026, 1.6420441891717253e-10, 2.6491355436525311e-11, 4.0214360535263147e-13, 1.4757804599816863e-12, 1.4645603463536738e-10, 2.7525881780227763e-08, 1.3029561573817286e-10, 1.6681703546564062e-10, 6.0904980748600765e-11, 0.58742962770185303, 
0.023872272742574412, 4.9001104529090789, 2.1362426273323842e-201, 664.93902522788778, 0.40562669106303062, 0.23372077097408753, 0.003094133590741632, 0.0002012698666305858, 0.14446265609082817, 0.0012213051943062729, 0.028381843989961242, 0.00034185453654465159, 0.00012356436621788392, 2.2090350538129424e-10, 3.6529037982478333e-11, 4.8831581640095387e-13, 1.7362978597436702e-12, 2.1083122770261991e-10, 3.3063822665692762e-08, 1.2006113144561622e-10, 2.091784301164454e-10, 6.6996547312107128e-11, 0.58845256746013508, 
0.023876216916518513, 5.0701887849732525, 3.0260150028712832e-201, 689.34274691939049, 0.39201924082119205, 0.23027471433042204, 0.0036331947345443669, 0.00023724492223809975, 0.1435402141051533, 0.0012515250373083913, 0.031172120674970279, 0.00031976658268607943, 0.00011903228753547886, 2.9465846261693343e-10, 4.9830880176654645e-11, 5.9568308645692162e-13, 2.0342724914868476e-12, 2.9523527152938372e-10, 3.9498699234397153e-08, 1.1196222553434828e-10, 2.605841455969413e-10, 7.3405223440950827e-11, 0.58945214673813651, 
0.023880161090462614, 5.2394408660608764, 4.3497443754229474e-201, 713.70134935892474, 0.37935557610023463, 0.22676024323094196, 0.0042170948287888832, 0.00027915395782710173, 0.14256579386285503, 0.0012733352723770038, 0.034063674952854346, 0.00029945557050568004, 0.0001136964273671141, 3.8937452658713586e-10, 6.7221791726342509e-11, 7.3000992386756853e-13, 2.373987585708655e-12, 4.0319259802362923e-10, 4.6947586965247114e-08, 1.0566650652339594e-10, 3.2267042824323551e-10, 8.0186296162817686e-11, 0.59042750357747975, 
0.023884105264406714, 5.4075459650815425, 5.3061357567155726e-201, 737.96681000848844, 0.36756307167420355, 0.22317992184466576, 0.0048444353192409985, 0.00032795647110048378, 0.14153800829320057, 0.0012891223809190252, 0.037054044237745075, 0.00028091305205956622, 0.00010773073487936961, 5.0943675170242957e-10, 8.9656166894787959e-11, 8.9844427718947721e-13, 2.7600083456667634e-12, 5.3824038108186118e-10, 5.553823590808729e-08, 1.0089889090419972e-10, 3.9730709179822547e-10, 8.7405905455100795e-11, 0.59137781040134962, 
0.023886077351378765, 5.4910411963181343, 5.4616444451767669e-201, 750.0496236533005, 0.36197514649440377, 0.22135093972690661, 0.0051766787313906309, 0.00035556338234875361, 0.14099847022441547, 0.0012957089784021846, 0.03859907131887437, 0.00027221382324434568, 0.0001045461855752274, 5.8144345651383967e-10, 1.0329461148198716e-10, 9.9964043349254219e-13, 2.9741011932794725e-12, 6.1737647310610516e-10, 6.0357034493139915e-08, 9.8999429973268341e-11, 4.405257907596169e-10, 9.1247412124914134e-11, 0.59184674533494719, 
0.023888049438350815, 5.5741481596642588, 5.6169326058115974e-201, 762.09444890393377, 0.35657901318551244, 0.21950567254654424, 0.0055194000907722134, 0.00038535763223812927, 0.14044363503840127, 0.0013016534280204833, 0.040170057221779444, 0.00026393514771878721, 0.00010125900440755262, 6.6199990180785571e-10, 1.1868005890295653e-10, 1.1132635118772094e-12, 3.2023063837839592e-12, 7.046695008973292e-10, 6.5535032791834253e-08, 9.742194289031266e-11, 4.8799030796521895e-10, 9.5237231641054308e-11, 0.59230896218477047, 
